ID,Positive Event,Total Sends,Total Opens,Unique Opens,Total Clickthroughs,Unique Clickthroughs,Total Page Views,Total Visits,Average Page Time (seconds),Total Page Time (seconds),Total Form Submissions,Title,Job Function,Industry Formula,Region
1113A,0,49,58,1,5,1,370,92,52.10810811,19280,4,"SVP, Data Platforms Architect","IT Executive (CIO, CTO, VP Engineering, etc.)",Corporate Services,Americas
1114A,0,,,,,,,,,,,Founder and software architect,Director / Development Manager,Computer Software,Americas
1115A,1,12,2,1,1,1,4,2,18.75,75,1,Director Software Development,Director / Development Manager,Hospitals and Healthcare,Americas
1116A,0,12,2,1,1,1,4,2,18.75,75,1,Director Software Development,Director / Development Manager,Hospitals and Healthcare,Americas
1117A,0,12,2,1,1,1,4,2,18.75,75,1,Director Software Development,Director / Development Manager,Hospitals and Healthcare,Americas
1118A,0,12,2,1,1,1,4,2,18.75,75,1,Director Software Development,Director / Development Manager,Hospitals and Healthcare,Americas
1119A,0,55,28,1,4,1,23,11,10.95652174,252,5,0,Software Developer / Engineer,Computer Software,EMEA
1120A,0,,,,,,,,,,,"Vice President, Technology (R&D)","IT Executive (CIO, CTO, VP Engineering, etc.)",Computer Software,Americas
1121A,0,,,,,,,,,,,Senior Scientist,Data Scientist,Consumer Product Manufacturing,EMEA
1122A,0,,,,,,,,,,,Founder,0,Computer Software,Americas
1123A,1,,,,,,,,,,,Architect,Architect,Computer Software,Americas
1124A,0,1,0,0,0,0,,,,,,"Sr. Director, IT Operations and Support Center",Director / Development Manager,Hospitals and Healthcare,Americas
1125A,0,,,,,,46,17,67.91304348,3124,,CIO,"IT Executive (CIO, CTO, VP Engineering, etc.)",0,EMEA
1126A,0,,,,,,,,,,,Senior Software Architect,Architect,Schools and Education,Americas
1127A,0,,,,,,,,,,,Head of Architecture and Development,Director / Development Manager,"Civic, Non-Profit and Membership Groups",EMEA
1128A,0,17,3,1,0,0,,,,,,Director of Technology,Director / Development Manager,"Civic, Non-Profit and Membership Groups",Americas
1129A,0,17,3,1,0,0,,,,,,Director of Technology,Director / Development Manager,"Civic, Non-Profit and Membership Groups",Americas
1130A,1,4,8,1,1,1,29,4,72.31034483,2097,,Sr Database Administrator,0,Corporate Services,Americas
1131A,0,4,0,0,0,0,,,,,,"Director, Database Administration",Director / Development Manager,Computer Software,Americas
1132A,1,28,0,0,0,0,,,,,3,Senior DevOps Engineer,Software Developer / Engineer,Transportation,Americas
1133A,0,15,7,1,0,0,,,,,,"Senior Project Manager, IT",Product / Project Manager,Insurance,Americas
1134A,0,,,,,,,,,,,Head of Solutions CSC Boomerang,Director / Development Manager,Corporate Services,EMEA
1135A,0,29,23,1,0,0,22,6,68.04545455,1497,1,0,"Business Executive (CEO, COO, CMO, etc.)",Telecommunications,APAC
1136A,0,1,0,0,0,0,,,,,,"Global Head, IT Investments","IT Executive (CIO, CTO, VP Engineering, etc.)",Financial Services,Americas
1137A,0,28,0,0,0,0,,,,,,"Executive Director, IT Research and Development",Director / Development Manager,Financial Services,Americas
1138A,1,,,,,,,,,,,Database Administrator,DBA,Corporate Services,Americas
1139A,0,,,,,,,,,,,Senior R&D Manager of the Systems Development group in R&D,Director / Development Manager,Chemicals,Americas
1140A,0,54,82,1,4,1,10,6,97.1,971,1,CTO,0,Computer Software,Americas
1141A,0,82,769,1,23,1,385,159,50.66753247,19507,5,Practice Head - Database Services,"Business Executive (CEO, COO, CMO, etc.)",Corporate Services,APAC
1142A,0,29,6,1,0,0,,,,,,VP of Data Science Services,"Business Executive (CEO, COO, CMO, etc.)",Media,Americas
1143A,0,,,,,,,,,,,"Manager, Software Architect",Director / Development Manager,Corporate Services,Americas
1144A,0,3,0,0,0,0,,,,,,Co-founder / Board of Directors,Director / Development Manager,Computer Software,Americas
1145A,0,1,0,0,0,0,,,,,,"Executive Director, Identity Management and Employee Services, Wealth Management",Director / Development Manager,Financial Services,Americas
1146A,0,18,27,1,2,1,316,74,67.92721519,21465,2,CTO,"IT Executive (CIO, CTO, VP Engineering, etc.)",0,Americas
1147A,0,,,,,,,,,,,Founder,"Business Executive (CEO, COO, CMO, etc.)","Business Executive (CEO, COO, CMO, etc.)",Americas
1148A,0,20,8,1,0,0,,,,,,Software Development Manager,Director / Development Manager,Construction and Building Materials,Americas
1149A,1,,,,,,,,,,,Head of Technology GDS,"IT Executive (CIO, CTO, VP Engineering, etc.)",Government,EMEA
1150A,0,,,,,,,,,,,software developer,Software Developer / Engineer,Aerospace and Defense,Americas
1151A,1,59,5,1,5,1,46,17,31.63043478,1455,3,0,Architect,Hospitals and Healthcare,Americas
1152A,0,59,5,1,5,1,46,17,31.63043478,1455,3,0,Architect,Hospitals and Healthcare,Americas
1153A,0,45,6,1,1,1,59,26,58.86440678,3473,7,Senior DBA Lead,DBA,Media,APAC
1154A,0,65,236,1,4,1,536,182,51.57089552,27642,1,Head of Development,Director / Development Manager,Corporate Services,EMEA
1155A,0,30,21,1,18,1,195,22,39.13333333,7631,,Senior DDS Specialist,Product / Project Manager,Energy and Environmental,Americas
1156A,1,1,1,1,0,0,,,,,,President,"Business Executive (CEO, COO, CMO, etc.)",0,Americas
1157A,0,,,,,,,,,,,Sr. Software Engineer,Software Developer / Engineer,Retail,Americas
1158A,0,27,61,1,1,1,49,16,65.73469388,3221,,"Director, Mobile Applications",Director / Development Manager,Energy and Environmental,Americas
1159A,0,75,99,1,4,1,14,6,30.28571429,424,5,IT Business Analytics - Sr. Application Architect,Architect,Computer Hardware,Americas
1160A,0,24,0,0,0,0,,,,,,"Director, Portal and Messaging Operations",Director / Development Manager,Media,Americas
1161A,1,,,,,,,,,,,0,0,Consumer Product Manufacturing,Americas
1162A,1,,,,,,,,,,,Sr. Producer,0,Computer Software,APAC
1163A,1,10,5,1,0,0,,,,,,CTO,Software Developer / Engineer,Consumer Services,EMEA
1164A,0,64,0,0,0,0,259,43,67.38996139,17454,7,"Director, Application Delivery",Director / Development Manager,Financial Services,Americas
1165A,1,17,25,1,2,1,310,96,51.21935484,15878,1,CTO,"IT Executive (CIO, CTO, VP Engineering, etc.)",Computer Software,Americas
1166A,0,,,,,,,,,,,Lead Dev,Software Developer / Engineer,Corporate Services,Americas
1167A,0,,,,,,,,,,,Software Engineer,Software Developer / Engineer,Government,Americas
1168A,1,42,204,1,9,1,440,108,92.66136364,40771,8,Principle Engineer,Software Developer / Engineer,Computer Software,EMEA
1169A,0,64,16,1,2,1,2,2,0,0,1,Sr Practice Leader in Custom Engineering,Software Developer / Engineer,Computer Hardware,Americas
1170A,0,59,68,1,8,1,1273,246,57.02985075,72599,1,Founder,"Business Executive (CEO, COO, CMO, etc.)",Telecommunications,Americas
1171A,1,,,,,,,,,,,"Sr. Director, Architecture, Investments IT",Director / Development Manager,Insurance,Americas
1172A,0,,,,,,,,,,,Senior Vice President of Engineering,Director / Development Manager,Computer Software,Americas
1173A,0,55,31,1,0,0,,,,,,Programmer,Software Developer / Engineer,Computer Software,EMEA
1174A,0,16,4,1,3,1,3,2,21.33333333,64,1,Dev Manager,Director / Development Manager,Corporate Services,EMEA
1175A,0,17,0,0,0,0,,,,,2,CSC Contractor for MD,Architect,Government,Americas
1176A,0,,,,,,,,,,,CEO,"Business Executive (CEO, COO, CMO, etc.)",Telecommunications,EMEA
1177A,0,19,1,1,1,1,1,1,0,0,1,Information Management Specialist,Product / Project Manager,Government,Americas
1178A,0,88,44,1,16,1,676,190,54.33136095,36728,11,IT manager,Director / Development Manager,Corporate Services,EMEA
1179A,0,,,,,,,,,,,Business Intelligence Specialist (NO LONGER HERE),Other,Insurance,Americas
1180A,0,108,54,1,15,1,776,262,63.68427835,49419,7,Solutions Architect,Architect,Financial Services,Americas
1181A,0,2,3,1,0,0,,,,,1,VP Digital Channels,"Business Executive (CEO, COO, CMO, etc.)",Banks,Americas
1182A,0,,,,,,,,,,,System Engineer,0,Corporate Services,EMEA
1183A,1,,,,,,,,,,,DBA,DBA,Aerospace and Defense,Americas
1184A,1,61,128,1,16,1,91,38,26.28571429,2392,6,Supervisor of Telecommunications,Director / Development Manager,Transportation,Americas
1185A,0,90,115,1,23,1,1813,427,64.8030888,117488,16,BI Architect,Architect,Software & Technology,Americas
1186A,0,44,30,1,7,1,1485,436,71.00538721,105443,37,Database Architect,Architect,Aerospace and Defense,Americas
1187A,0,,,,,,,,,,,"Manager,  Application Development",Director / Development Manager,"Leisure, Sports and Recreation",Americas
1188A,0,,,,,,,,,,,CTO,"IT Executive (CIO, CTO, VP Engineering, etc.)",Computer Software,Americas
1189A,0,59,0,0,0,0,66,9,76.75757576,5066,7,"Team Lead, SOA Messaging Architect",Architect,Banks,Americas
1190A,0,62,5,1,0,0,2,1,60.5,121,1,Executive Director- Head of Securitized Products Technology Group,Director / Development Manager,Financial Services,Americas
1191A,0,2,12,1,0,0,1,1,0,0,,Architect,DV,Corporate Services,Americas
1192A,1,,,,,,,,,,,"Sr. Manager, IT Contracts",Director / Development Manager,Insurance,Americas
1193A,0,25,2,1,4,1,4,3,12.75,51,,"Executive Director, Application Development",Director / Development Manager,Insurance,Americas
1194A,0,,,,,,,,,,,"Manager, Data Modeling and Services, Enterprise Architecture","Business Executive (CEO, COO, CMO, etc.)",Pharmaceuticals and Biotechnology,Americas
1195A,0,,,,,,,,,,,Analyst / Dataminer,Software Developer / Engineer,Financial Services,EMEA
1196A,1,64,30,1,3,1,56,21,46.67857143,2614,7,Applications Manager-Information Technology,Software Developer / Engineer,Government,Americas
1197A,0,40,170,1,1,1,26,6,58.03846154,1509,1,0,DBA,0,EMEA
1198A,0,14,0,0,0,0,,,,,,"Managing Director,  ECommerce Platforms","IT Executive (CIO, CTO, VP Engineering, etc.)",Financial Services,Americas
1199A,0,46,20,1,1,1,36,11,175.1944444,6307,1,Principal Consultant,Director / Development Manager,Holding Companies,Global
1200A,0,,,,,,,,,,,"Senior Manager, NES Soultion Architecture",Director / Development Manager,Corporate Services,Global
1201A,0,,,,,,,,,,,0,Software Developer / Engineer,Retail,Americas
1202A,0,,,,,,,,,,,0,0,Corporate Services,EMEA
1203A,0,12,0,0,0,0,,,,,2,Sr. Dev Ops Manager,Technical Operations,Hospitals and Healthcare,Americas
1204A,0,17,0,0,0,0,,,,,,Database Administrator,DBA,Insurance,Americas
1205A,0,,,,,,,,,,,Co Founder & Director,Director / Development Manager,Computer Software,EMEA
1206A,0,,,,,,,,,,,0,"IT Executive (CIO, CTO, VP Engineering, etc.)",Computer Hardware,Americas
1207A,1,8,3,1,0,0,4,2,3.25,13,,DV,Software Developer / Engineer,Financial Services,Americas
1208A,1,55,0,0,0,0,,,,,,"Manager, Information Technology",Director / Development Manager,Corporate Services,Americas
1209A,0,13,2,1,0,0,,,,,,PRESIDENT,"Business Executive (CEO, COO, CMO, etc.)",Corporate Services,Americas
1210A,0,,,,,,,,,,,Staff Database Engineer,Software Developer / Engineer,Financial Services,Americas
1211A,0,54,128,1,4,1,693,184,74.14718615,51384,,Director,"IT Executive (CIO, CTO, VP Engineering, etc.)",Computer Software,APAC
1212A,0,,,,,,,,,,,Architect,Architect,Computer Software,Americas
1213A,0,,,,,,,,,,,Senior Technology Architect at Infosys,Architect,Automotive,EMEA
1214A,0,5,5,1,0,0,,,,,,Senior Director,Director / Development Manager,0,EMEA
1215A,0,38,0,0,0,0,31,8,29.38709677,911,4,"Head of Disruptive Technologies - Strategy, Innovation, & Planning",Director / Development Manager,Holding Companies,Americas
1216A,0,60,70,1,10,1,108,38,47.16666667,5094,1,"Chief Systems Architect, Digital Media","Business Executive (CEO, COO, CMO, etc.)",Media,Americas
1217A,0,,,,,,,,,,,Senior Software Engineer,Software Developer / Engineer,Consumer Product Manufacturing,Americas
1218A,0,,,,,,,,,,,"Principal Architect, IT Strategy and Innovation",Director / Development Manager,Holding Companies,Americas
1219A,0,5,1,1,0,0,22,5,32.13636364,707,1,Senior Director of Software Development,Director / Development Manager,Corporate Services,Americas
1220A,0,31,42,1,0,0,,,,,2,COO,BP,Computer Software,APAC
1221A,0,35,5,1,0,0,56,32,59,3304,2,CTO,"IT Executive (CIO, CTO, VP Engineering, etc.)",Healthcare & Pharmaceuticals,Americas
1222A,0,,,,,,,,,,,CTO,"IT Executive (CIO, CTO, VP Engineering, etc.)",Corporate Services,Americas
1223A,0,,,,,,,,,,,CTO,"IT Executive (CIO, CTO, VP Engineering, etc.)",Corporate Services,Americas
1224A,0,18,2,1,0,0,,,,,1,Operations Manager,Technical Operations,Computer Software,Americas
1225A,0,,,,,,,,,,,"VP, Software","IT Executive (CIO, CTO, VP Engineering, etc.)",Corporate Services,Americas
1226A,0,1,0,0,0,0,,,,,,Enterprise IT Architect,Architect,Financial Services,Americas
1227A,0,7,0,0,0,0,,,,,,Database Administrator,DBA,Corporate Services,EMEA
1228A,0,,,,,,,,,,,Senior Mobile Developer,DV,Schools and Education,Americas
1229A,1,103,64,1,19,1,476,126,52.90546218,25183,1,Data architect,0,Financial Services,Americas
1230A,0,95,83,1,3,1,195,74,80.0974359,15619,5,IT Manager,Director / Development Manager,Construction and Building Materials,EMEA
1231A,0,10,0,0,0,0,,,,,,Director Enterprise Architecture Governance,Director / Development Manager,Energy and Environmental,Americas
1232A,0,58,241,1,9,1,467,203,44.40685225,20738,11,0,"IT Executive (CIO, CTO, VP Engineering, etc.)",Computer Software,EMEA
1233A,0,,,,,,,,,,,0,Software Developer / Engineer,Telecommunications,EMEA
1234A,0,12,3,1,0,0,736,53,57.22282609,42116,1,Systems Engineer,Technical Operations,Industrial Manufacturing and Services,Americas
1235A,0,,,,,,,,,,,Sr. Software Engineer,Software Developer / Engineer,Computer Software,Americas
1236A,1,,,,,,,,,,,Software Manager,Software Developer / Engineer,Corporate Services,Americas
1237A,0,,,,,,,,,,,Technical Manager,Director / Development Manager,Telecommunications,Americas
1238A,0,88,61,1,10,1,430,97,114.6744186,49310,22,Senior Developer,Software Developer / Engineer,Computer Software,Americas
1239A,0,19,4,1,0,0,238,65,55.63445378,13241,1,Senior Software Engineer,Software Developer / Engineer,Industrial Manufacturing and Services,EMEA
1240A,0,,,,,,,,,,,Director of Engineering,Director / Development Manager,Computer Software,Americas
1241A,0,33,0,0,0,0,,,,,,"VP, Data Architecture",Other,Computer Software,Americas
1242A,0,,,,,,,,,,,Technical Staff,Software Developer / Engineer,Corporate Services,Americas
1243A,0,16,0,0,0,0,,,,,,Enterprise Architect,Architect,Insurance,Americas
1244A,0,55,57,1,4,1,48,6,40.72916667,1955,3,Software Developer / Engineer,Software Developer / Engineer,Computer Software,Americas
1245A,1,,,,,,,,,,,Data Team Lead,Data Scientist,Media,Americas
1246A,0,,,,,,,,,,,CTO,Software Developer / Engineer,Computer Software,Americas
1247A,0,42,0,0,0,0,,,,,,Application Architect,Architect,Financial Services,Americas
1248A,0,42,0,0,0,0,,,,,,Application Architect,Architect,Financial Services,Americas
1249A,0,,,,,,,,,,,Software Engineer,Software Developer / Engineer,Construction and Building Materials,EMEA
1250A,0,42,118,1,3,1,3,3,0,0,3,CTO,"IT Executive (CIO, CTO, VP Engineering, etc.)",0,Americas
1251A,0,,,,,,,,,,,Design Engineer - NO LONGER THERE,"IT Executive (CIO, CTO, VP Engineering, etc.)",Electronics,Americas
1252A,0,,,,,,,,,,,Sr. Director of Support & Operations,OP,Corporate Services,Americas
1253A,0,46,141,1,5,1,53,11,33.32075472,1766,1,Development Evangelist,Software Developer / Engineer,Computer Software,Americas
1254A,0,,,,,,,,,,,Director of Technology,Director / Development Manager,Hospitals and Healthcare,Americas
1255A,0,,,,,,,,,,,Sales Manager,Business Development / Alliance Manager,Corporate Services,EMEA
1256A,1,40,51,1,6,1,732,188,178.5819672,130722,4,Software Architect,Architect,Computer Software,EMEA
1257A,0,44,8,1,0,0,173,75,89.83236994,15541,2,Systems Engineer,Software Developer / Engineer,Corporate Services,Americas
1258A,0,10,1,1,0,0,,,,,,software engineer (catania),Software Developer / Engineer,Telecommunications,EMEA
